,Unnamed: 0,ticker,date,type,market_cap,d1dv,d2dv,d3dv,d1_i,d1_ah,d1_all,d2_i,d2_ah,d3_i,working_capital,1d_all_z,d1_all_z
123,123,TTPH,2018-08-28,CS,,22813828.576,5197978.2476,3222810.4236000003,0.069909,0.005682,0.075988,-0.012712,-0.012876,-0.008696,64965000.0,1.336620097085231,1.9066741634908586
124,124,AKCA,2018-08-30,CS,,10190621.6,9191189.254,9609372.9803,0.020742,0.009769,0.030714,0.022059,0.003408,-0.002264,-367770000.0,0.6786006399945783,0.6702657717014496
125,125,PTCT,2018-08-30,CS,2969311800.0,25586800.0548,25494207.7204,32405923.602,0.011074,-0.00381,0.007222,-0.00239,-0.007427,0.017861,394894000.0,0.28862424545762816,0.43129498598881993
126,126,TEVA,2018-09-16,ADRC,25203713788.0,699913069.9476,506232380.1227,424554794.5277,-0.027801,-0.005975,-0.03361,0.050236,0.0,0.007359,21340000000.0,-1.5268632948342158,-1.0438548047032563
127,127,MRK,2018-09-23,CS,179594613849.0,456048304.8192,448540095.93469995,489326600.7666,-0.001974,0.000989,-0.000987,-0.002823,0.003963,-0.008459,1338228000.0,-0.3802659508454595,-0.3053793206759764
128,128,INSM,2018-09-28,CS,2393484529.0,40246802.4399,125472267.7002,56847212.641499996,-0.052927,0.031157,-0.023419,-0.245084,0.013977,0.002506,21861000.0,-0.10196722514831412,-0.6778090667805106
129,129,ATRS,2018-09-29,CS,571342729.0,22144684.0188,42564755.7076,13928542.2324,-0.096953,0.0,-0.096953,0.156442,-0.005305,0.008,28824500000.0,-1.9885727136643914,-3.0644920089538994
131,131,VSTM,2018-10-05,CS,1262548917.0,20247825.1001,15666927.4828,13057075.0604,-0.01,-0.002886,-0.012857,-0.031838,-0.004484,0.03003,21340000000.0,0.16793592111538178,0.1861191271629313
132,132,ACOR,2018-10-05,CS,197831593.0,22020625.932000004,10799988.1305,19379351.4128,-0.032859,0.005096,-0.02793,-0.005634,-0.007932,-0.065677,3671402000.0,-0.6804137749068576,-0.9677243501585752
133,133,AKCA,2018-10-06,CS,,26411243.1525,16711142.17,8101834.1559,-0.112702,0.034386,-0.082192,0.014586,-0.001003,-0.095382,862000.0,-1.0822026140889538,-1.1868889765595692
134,134,MRK,2018-10-06,CS,179417797774.0,632366328.2595,567536226.0848999,902097847.5275,0.007472,0.0,0.007472,0.012315,0.001935,-0.028008,,0.8662319808502288,1.0039620453496654
135,135,PTCT,2018-10-06,CS,2895079005.0,34374866.6024,21835981.9026,33351059.472000003,0.00196,-0.001956,0.0,-0.028907,-0.003532,-0.020253,28824500000.0,0.4693237273440511,0.21786076884953695
136,136,KALA,2018-10-16,CS,651072733.0,11935766.153199999,4554611.5540000005,2964887.3400000003,0.104444,-0.023139,0.078889,0.015448,-0.005071,-0.027523,21340000000.0,1.1937672116704614,1.1873601519078838
137,137,REGN,2018-10-20,CS,41923494706.0,250764024.945,297186693.64019996,513473260.6032,-0.013959,-0.00936,-0.023189,-0.009058,-0.001077,-0.07597,8751000.0,-0.7592689592778719,-1.2561994971283885
138,138,SNY,2018-10-20,ADRC,111896618257.0,25611787.3704,51947240.9128,103656499.87629999,-0.001793,-0.009879,-0.011654,0.007029,-0.016888,-0.032295,12311000.0,-1.2865766898738096,-0.9773683783020398
